ID,topic_ID,priority_in_topic,age,child_gender,name_c.eng,name_c.zho
take_a_pause,take_a_pause,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Slow Down,
one_on_one_yc,one_on_one,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Spend One-on-one Time with My Child,
kind_to_myself_yc,kind_to_myself,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Be Kind to Myself,
give_praise_yc,give_praise,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Give Praise,
talk_feelings_yc,talk_feelings,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Talk about Feelings,
spirituality_yc,spirituality,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Parenting & Traditional Values,
language_yc,language,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Help Your Child’s Language Skills,
reading1_4to6_yc,reading,1,4 | 5 | 6,male|female,"Help Your Child Learn to Read, Part 1",
reading2_4to6_yc,reading,2,4 | 5 | 6,male|female,"Help Your Child Learn to Read, Part 2",
maths1_4to6_yc,maths,1,4 | 5 | 6,male|female,"Get Your Child Ready for Maths, Part 1",
maths2_4to6_yc,maths,2,4 | 5 | 6,male|female,"Get Your Child Ready for Maths, Part 2",
reading_2to3_yc,reading,,2|3,male|female,Help Your Child Learn to Read,
maths_2to3_yc,maths,,2|3,male|female,Get Your Child Ready for Maths,
engage_school_3to6_yc,engage_school,,3| 4 | 5 | 6,male|female,Engage with Your Child’s School,
play_yc,play,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,The Power of Play,
learn_experience_yc,learn_experience,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Learning From Experience,
toddler_change_yc,toddler_change,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,How Your Toddler is Changing,
young_child_change_yc,young_child_change,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,How Your Young Child is Changing,
child_change_yc,child_change,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,How Your Child is Changing,
manage_my_stress_yc,manage_my_stress,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Manage My Stress,
keeping_it_positive_yc,keeping_it_positive,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Keeping it Positive,
create_routines_yc,create_routines,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Create Routines with My Child,
create_family_rules_yc,create_family_rules,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Creating Family Rules,
know_role_yc,know_role,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Know Everyone’s Role,
redirect_yc,redirect,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Redirect Misbehaviour,
ignore_demanding_yc,ignore_demanding,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Ignore Demanding Behaviours,
managing_anger_yc,managing_anger,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Managing Anger,
teach_consequences_yc,teach_consequences,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Teach my Child Consequences,
solve_problems_yc,solve_problems,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Solve Problems with My Child,
safe_touch_2to5_yc_m,safe_touch,,2|3| 4 | 5,male,Teach Safe Touch,
safe_touch_2to5_yc_f,safe_touch,,2|3| 4 | 5,female,Teach Safe Touch,
safe_touch_6to9_yc,safe_touch,, 6 | 7 | 8 | 9,male|female,Teach Safe Touch,
com_safety_2to4_yc,com_safety,,2|3| 4,male|female,EverydaySafety,
com_safety_5to9_yc,com_safety,, 5|6 | 7 | 8 | 9,male|female,EverydaySafety,
crises_2to6_yc,crises,,2|3| 4 | 5 | 6,male|female,Respond to Crises,
crises_7to9_yc,crises,,7 | 8 | 9,male|female,Respond to Crises,
online_safety_yc,online_safety,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Know Online Safety Basics,
habits_trust_online_yc,habits_trust_online,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Build Habits and Trust Online,
nutrition_health_yc,nutrition_health,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Strengthen My Child’s Nutrition and Health,
ipv_equals,ipv_equals,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Treating Each Other as Equals,
ipv_supportive,ipv_supportive,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Being a Supportive Family Memberand Parent,
ipv_sharing,ipv_sharing,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Sharing Family Responsibilities,
ipv_conflicts,ipv_conflicts,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Resolving Conflicts Peacefully,
ipv_listen,ipv_listen,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Listening and Talking to Each Other,
budget_needs_yc,budget_needs,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Understand Parenting Needs and Wants,
budget_expenses_yc,budget_expenses,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Talk about Monthly Parenting Expenses,
budget_monthly_yc,budget_monthly,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Make a Monthly Parenting Budget,
budget_savings_yc,budget_savings,,2|3| 4 | 5 | 6 | 7 | 8 | 9,male|female,Make a Saving Plan for Children,
